X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
225 , 0.363636 , 0.136364 , 0.227273 , 0.0 , 0.0 , 0.0454545 , 0.0454545 , 0.181818
226 , 0.04 , 0.32 , 0.0 , 0.08 , 0.0 , 0.0 , 0.08 , 0.48
227 , 0.111111 , 0.388889 , 0.222222 , 0.111111 , 0.0555556 , 0.0 , 0.0555556 , 0.0555556
228 , 0.0833333 , 0.25 , 0.0416667 , 0.0416667 , 0.0 , 0.25 , 0.166667 , 0.166667
229 , 0.117647 , 0.0588235 , 0.0 , 0.0 , 0.0 , 0.176471 , 0.0 , 0.647059
230 , 0.142857 , 0.142857 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.0714286 , 0.5
231 , 0.0 , 0.541667 , 0.0416667 , 0.0833333 , 0.0416667 , 0.0416667 , 0.0416667 , 0.208333
232 , 0.0 , 0.190476 , 0.047619 , 0.0952381 , 0.0 , 0.0952381 , 0.285714 , 0.285714
233 , 0.0434783 , 0.434783 , 0.217391 , 0.0434783 , 0.130435 , 0.0434783 , 0.0434783 , 0.0434783
234 , 0.0 , 0.263158 , 0.0 , 0.0 , 0.0 , 0.315789 , 0.0 , 0.421053
235 , 0.25 , 0.1875 , 0.0 , 0.1875 , 0.0 , 0.0625 , 0.25 , 0.0625
236 , 0.0 , 0.285714 , 0.0714286 , 0.0 , 0.0 , 0.0357143 , 0.0 , 0.607143
237 , 0.0869565 , 0.434783 , 0.0 , 0.0869565 , 0.0 , 0.0 , 0.0434783 , 0.347826
238 , 0.185185 , 0.37037 , 0.111111 , 0.0 , 0.0 , 0.185185 , 0.0 , 0.148148
239 , 0.0333333 , 0.166667 , 0.266667 , 0.166667 , 0.0666667 , 0.0666667 , 0.0333333 , 0.2
240 , 0.0909091 , 0.545455 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0909091 , 0.272727
241 , 0.0555556 , 0.166667 , 0.166667 , 0.0 , 0.0 , 0.166667 , 0.111111 , 0.333333
242 , 0.125 , 0.375 , 0.0 , 0.25 , 0.0 , 0.0 , 0.0 , 0.25
243 , 0.363636 , 0.0 , 0.0909091 , 0.0 , 0.0 , 0.272727 , 0.0 , 0.272727
244 , 0.388889 , 0.111111 , 0.0555556 , 0.0555556 , 0.166667 , 0.0555556 , 0.111111 , 0.0555556
245 , 0.2 , 0.0666667 , 0.133333 , 0.0666667 , 0.0 , 0.2 , 0.0 , 0.333333
246 , 0.166667 , 0.111111 , 0.0555556 , 0.0 , 0.0 , 0.222222 , 0.0 , 0.444444
247 , 0.153846 , 0.153846 , 0.0769231 , 0.0 , 0.0 , 0.153846 , 0.0769231 , 0.384615
248 , 0.0833333 , 0.333333 , 0.25 , 0.0833333 , 0.0 , 0.0833333 , 0.0833333 , 0.0833333
