X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
256 , 0.047619 , 0.238095 , 0.190476 , 0.047619 , 0.0 , 0.142857 , 0.285714 , 0.047619
257 , 0.35 , 0.25 , 0.0 , 0.25 , 0.05 , 0.0 , 0.0 , 0.1
258 , 0.0 , 0.294118 , 0.176471 , 0.0 , 0.0 , 0.0 , 0.411765 , 0.117647
259 , 0.230769 , 0.0769231 , 0.0769231 , 0.0 , 0.0769231 , 0.230769 , 0.0769231 , 0.230769
260 , 0.1 , 0.1 , 0.1 , 0.0 , 0.0 , 0.0 , 0.2 , 0.5
261 , 0.526316 , 0.0 , 0.210526 , 0.0 , 0.0526316 , 0.105263 , 0.0 , 0.105263
262 , 0.428571 , 0.428571 , 0.0 , 0.0 , 0.0714286 , 0.0 , 0.0 , 0.0714286
263 , 0.2 , 0.05 , 0.35 , 0.1 , 0.0 , 0.0 , 0.05 , 0.25
264 , 0.0526316 , 0.315789 , 0.0 , 0.105263 , 0.157895 , 0.105263 , 0.0 , 0.263158
265 , 0.0833333 , 0.25 , 0.416667 , 0.0833333 , 0.0 , 0.0 , 0.0 , 0.166667
266 , 0.3125 , 0.25 , 0.0625 , 0.0625 , 0.0625 , 0.0 , 0.25 , 0.0
267 , 0.363636 , 0.0 , 0.181818 , 0.0 , 0.0 , 0.0909091 , 0.181818 , 0.181818
268 , 0.166667 , 0.111111 , 0.166667 , 0.111111 , 0.0 , 0.111111 , 0.0 , 0.333333
269 , 0.285714 , 0.190476 , 0.0 , 0.0 , 0.142857 , 0.0 , 0.190476 , 0.190476
270 , 0.466667 , 0.0666667 , 0.0 , 0.2 , 0.0666667 , 0.0666667 , 0.0 , 0.133333
271 , 0.157895 , 0.210526 , 0.105263 , 0.0 , 0.0 , 0.0 , 0.315789 , 0.210526
272 , 0.08 , 0.04 , 0.0 , 0.04 , 0.28 , 0.08 , 0.16 , 0.32
273 , 0.368421 , 0.0 , 0.157895 , 0.157895 , 0.105263 , 0.0 , 0.0 , 0.210526
274 , 0.222222 , 0.333333 , 0.0 , 0.0 , 0.111111 , 0.0 , 0.111111 , 0.222222
275 , 0.235294 , 0.176471 , 0.176471 , 0.0 , 0.0588235 , 0.0 , 0.117647 , 0.235294
276 , 0.285714 , 0.0 , 0.428571 , 0.0714286 , 0.142857 , 0.0 , 0.0714286 , 0.0
277 , 0.142857 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.142857 , 0.0 , 0.571429
278 , 0.2 , 0.0 , 0.133333 , 0.0 , 0.0666667 , 0.0 , 0.0 , 0.6
279 , 0.368421 , 0.0526316 , 0.210526 , 0.0 , 0.105263 , 0.105263 , 0.0 , 0.157895
280 , 0.125 , 0.0 , 0.125 , 0.0 , 0.0 , 0.0 , 0.375 , 0.375
281 , 0.0 , 0.2 , 0.05 , 0.0 , 0.3 , 0.0 , 0.3 , 0.15
282 , 0.142857 , 0.047619 , 0.190476 , 0.142857 , 0.047619 , 0.0 , 0.0952381 , 0.333333
283 , 0.0 , 0.4 , 0.0 , 0.05 , 0.0 , 0.0 , 0.3 , 0.25
284 , 0.55 , 0.05 , 0.05 , 0.0 , 0.0 , 0.0 , 0.1 , 0.25
285 , 0.142857 , 0.0714286 , 0.142857 , 0.0714286 , 0.0 , 0.0 , 0.0 , 0.571429
286 , 0.4 , 0.2 , 0.3 , 0.0 , 0.0 , 0.1 , 0.0 , 0.0
287 , 0.266667 , 0.1 , 0.2 , 0.0 , 0.166667 , 0.0 , 0.133333 , 0.133333
288 , 0.357143 , 0.357143 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0714286 , 0.214286
289 , 0.25 , 0.75 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
290 , 0.227273 , 0.0454545 , 0.0909091 , 0.136364 , 0.0909091 , 0.136364 , 0.0 , 0.272727
291 , 0.217391 , 0.391304 , 0.0 , 0.0 , 0.0434783 , 0.0 , 0.217391 , 0.130435
292 , 0.466667 , 0.0 , 0.133333 , 0.0666667 , 0.133333 , 0.0 , 0.0 , 0.2
293 , 0.5 , 0.0 , 0.0 , 0.0 , 0.333333 , 0.0 , 0.0 , 0.166667
294 , 0.4 , 0.0666667 , 0.0 , 0.0666667 , 0.0666667 , 0.2 , 0.0 , 0.2
295 , 0.111111 , 0.0 , 0.0 , 0.111111 , 0.0 , 0.111111 , 0.111111 , 0.555556
296 , 0.235294 , 0.0 , 0.0 , 0.235294 , 0.117647 , 0.0 , 0.0588235 , 0.352941
297 , 0.136364 , 0.181818 , 0.0 , 0.136364 , 0.0454545 , 0.0 , 0.227273 , 0.272727
298 , 0.111111 , 0.388889 , 0.0555556 , 0.0 , 0.333333 , 0.0555556 , 0.0555556 , 0.0
299 , 0.166667 , 0.166667 , 0.0555556 , 0.0555556 , 0.166667 , 0.111111 , 0.0 , 0.277778
300 , 0.25 , 0.5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.25
301 , 0.263158 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.368421 , 0.368421
302 , 0.222222 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.0 , 0.111111 , 0.333333
303 , 0.363636 , 0.181818 , 0.0909091 , 0.0 , 0.0 , 0.0 , 0.181818 , 0.181818
304 , 0.571429 , 0.0 , 0.0714286 , 0.142857 , 0.0 , 0.0 , 0.0 , 0.214286
305 , 0.35 , 0.4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.25
306 , 0.0 , 0.555556 , 0.0 , 0.111111 , 0.0 , 0.111111 , 0.0 , 0.222222
307 , 0.0952381 , 0.142857 , 0.0952381 , 0.0 , 0.047619 , 0.047619 , 0.333333 , 0.238095
308 , 0.125 , 0.125 , 0.625 , 0.0 , 0.0 , 0.0 , 0.0 , 0.125
309 , 0.0909091 , 0.0 , 0.0909091 , 0.0909091 , 0.363636 , 0.272727 , 0.0 , 0.0909091
310 , 0.4375 , 0.0 , 0.0 , 0.0625 , 0.125 , 0.0 , 0.125 , 0.25
311 , 0.555556 , 0.111111 , 0.0 , 0.0 , 0.0 , 0.0 , 0.111111 , 0.222222
312 , 0.125 , 0.125 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.75
313 , 0.0952381 , 0.0952381 , 0.190476 , 0.0 , 0.142857 , 0.142857 , 0.0 , 0.333333
314 , 0.0769231 , 0.230769 , 0.153846 , 0.153846 , 0.0769231 , 0.153846 , 0.0 , 0.153846
315 , 0.222222 , 0.166667 , 0.0 , 0.0555556 , 0.0 , 0.166667 , 0.0 , 0.388889
