,P1AncestryProportion,P2AncestryProportion,P3AncestryProportion,P4AncestryProportion,P5AncestryProportion,P6AncestryProportion,P7AncestryProportion,P8AncestryProportion
79,0.1242596,0.122925035,0.155665665,0.137358265,0.017014765,0.289359835,0.0433717,0.110045135
80,0.04668311,0.03293272,0.1257604,0.095931055,0.16646885,0.2841569,0.04026532,0.207801645
81,0.174426945,0.11884837,0.119887695,0.03251022,0.083549425,0.30692683,0.08703471,0.076815805
82,0.073123205,0.0330378,0.17291781,0.151578565,0.09690492,0.329638895,0.00171345,0.141085355
83,0.07861764,0.06813785,0.208390775,0.059478925,0.11464062,0.31892442,0.030952715,0.120857055
84,0.06611975,0.06450353,0.12974509,0.09337612,0.10247984,0.344892995,0.070500605,0.12838207
85,0.08672109,0.038038385,0.09375609,0.13936419,0.08636684,0.281106125,0.09131869,0.18332859
86,0.082734545,0.12164919,0.15785429,0.09532256,0.11245763,0.297607175,0.05003771,0.0823369
87,0.056106465,0.053786855,0.085796005,0.028267695,0.24797427,0.33027734,0.043340795,0.154450575
88,0.064352325,0.153699155,0.10988482,0.13440757,0.05945739,0.245465825,0.1328116,0.099921315
89,0.016629175,0.051489155,0.14300649,0.11679171,0.082742345,0.41118164,0.09549801,0.082661475
90,0.053962865,0.09117876,0.11403126,0.129495495,0.07653009,0.278303165,0.083415695,0.17308267
91,0.01897654,0.089594335,0.136876805,0.138040315,0.14702815,0.299106465,0.072125505,0.098251885
92,0.082502955,0.047594925,0.106697595,0.06110237,0.06192217,0.33506307,0.052493225,0.25262369
93,0.115423135,0.021708115,0.161496465,0.18044813,0.040618785,0.33330313,0.052245455,0.094756785
94,0.01291547,0.066140855,0.08107954,0.095250715,0.188048675,0.29651576,0.083337605,0.17671138
95,0.105145895,0.03526313,0.18277963,0.062082075,0.063167535,0.323643175,0.08154148,0.14637708
96,0.013077965,0.03978771,0.06730064,0.214292765,0.12065007,0.322935925,0.033168295,0.18878663
97,0.049682675,0.10709519,0.182825835,0.138924515,0.0973604,0.27024278,0.04972992,0.104138685
98,0.016058785,0.042400255,0.164023175,0.113076105,0.08833807,0.368885945,0.089366485,0.11785118
99,0.041123465,0.105854485,0.11835313,0.055033445,0.108499325,0.257058155,0.08316762,0.230910375
100,0.068448365,0.079797565,0.169106005,0.04845257,0.065333265,0.27133037,0.06161168,0.23592018
101,0.11589764,0.13493045,0.07877345,0.058781735,0.106315455,0.3569073,0.046411375,0.101982595
102,0.045490355,0.223183325,0.107718605,0.07339932,0.08003597,0.213000685,0.0730083,0.18416344
103,0.107936835,0.09593018,0.109663285,0.123491875,0.04314417,0.25878323,0.0846422,0.176408225
104,0.03628032,0.11732664,0.19562899,0.089481795,0.207828175,0.249343395,0.07177389,0.032336795
105,0.089896425,0.027226825,0.10147762,0.150740575,0.103196355,0.37402062,0.011645735,0.141795845
106,0.035096145,0.1012862,0.192328865,0.07116877,0.086136435,0.235612615,0.142925335,0.135445635
107,0.079376535,0.061276005,0.103835655,0.107742055,0.081157865,0.35235498,0.086465545,0.12779136
108,0.092390585,0.090519245,0.16402572,0.08871438,0.109911245,0.340865815,0.046778925,0.066794085
109,0.096187015,0.08585195,0.14480991,0.033672,0.06267425,0.25114969,0.19922348,0.126431705
110,0.045390145,0.063334285,0.15959762,0.053150695,0.148621955,0.276372605,0.04489221,0.208640485
111,0.12583059,0.045654565,0.18229534,0.13948068,0.026205405,0.38355243,0.009318465,0.087662525
112,0.061637035,0.04704743,0.128012365,0.077708725,0.14116402,0.41104886,0.02788434,0.105497225
